updateTimestamp,title,content,open,high,low,close,num_trds,Y_close_1,Y_close_3,Y_close_5,Y_close_10,Y_close_30,Y_close_60,Inverse_Y_close_1,Inverse_Y_close_3,Inverse_Y_close_5,Inverse_Y_close_10,Inverse_Y_close_30,Inverse_Y_close_60,sentiment_title,sentiment_content
2024-01-02 09:17:12,人民币兑美元中间价报7.0770 上调57点,人民币兑美元中间价报7.0770，上调57点；上一交易日中间价7.0827，上一交易日官方收盘价7.0920，上日夜盘报收7.0978。,7.1123,7.1125,7.1119,7.1121,950.0,-0.0002109081705825,0.000253089804699,0.000253089804699,-5.62421788220524e-05,0.0020669000717088,0.0020950211611197,0.0002109526622226,-0.0002530257664572,-0.0002530257664572,5.6245342182645345e-05,-0.0020626368075434,-0.0020906412235161,0.0,0.0
2024-01-02 16:31:45,在岸人民币兑美元1月2日16:30收盘报7.1320，较上一交易日下跌400点,在岸人民币兑美元1月2日16:30收盘报7.1320，较上一交易日下跌400点。,7.1379,7.1382,7.1377,7.1381,833.0,1.4009330214115325e-05,4.202799064190188e-05,0.0001400933021393,0.000182121292781,7.004665106968844e-05,5.6037320855573114e-05,-1.4009133955531726e-05,-4.202622436413759e-05,-0.0001400736787551,-0.0001820881306553,-7.004174488002451e-05,-5.603418085020193e-05,0.0,0.0
2024-01-03 06:28:24,美元指数创近十个月最大涨幅 离岸人民币盘中跌超400点失守7.15,十年期英债收益率升超10个基点，创近五个月最大升幅；盘中两年期美债收益率升10个基点、十年期收益率升至两周高位。美元指数创近十个月最大涨幅。离岸人民币盘中跌超400点失守7.15。,7.1503,7.1504,7.1502,7.1503,394.0,-2.797085436967439e-05,0.0,4.19562815545671e-05,2.7970854369785417e-05,-2.797085436967439e-05,5.594170873957083e-05,2.7971636760252697e-05,-0.0,-4.1954521298859e-05,-2.7970072022974148e-05,2.7971636760252697e-05,-5.5938579439852496e-05,0.0,0.0
2024-01-03 06:49:45,1.3盘前要点—港A美股你需要关注的大事都在这,"国际要闻：
1、纳指创去年10月底以来最大单日跌幅 道指再创历史新高；
2、美元指数创近十个月最大涨幅 离岸人民币盘中跌超400点失守7.15；
3、比特币盘中涨破4.5万美元创21个月新高；
4、坐等SEC批文 比特币概念股盘中巨震；
5、美国国债总额首次达到34万亿美元；
6、亚特兰大联储GDPNow模型预计美国2023年第四季度GDP增速为2.0%；
7、韩国将取消对股票投资收入征收资本利得税的计划；
8、以色列空袭黎巴嫩首都已致哈马斯7名成员死亡；
9、哈马斯称“将冻结与以方所有联系” 以称“不会停止暗杀行动”；
10、美国超越澳大利亚和卡塔尔成为全球最大液化天然气出口国；
11、航运巨头达飞轮船上调亚洲至地中海航线运费，最高上调100%；
12、航运巨头马士基：继续暂停通过红海的所有货物运输；
13、特斯拉2023年交付181万辆车，同比增长38%；
大中华区要闻：
1、央行重启PSL，分析师: PSL投放将对稳增长有着显著的拉动作用；
2、农业农村部：将会同财政部、国家发展改革委进一步加大对单产提升支持力度；
3、上海：调整本市住房公积金个人住房贷款政策；
4、机构：元旦楼市表现平淡 各地推盘力度一般；
5、2023年沪杭京等中国7城土地出让收入超千亿元；
6、崔东树：2023年中国汽车出口超过520万左右是有把握的；
7、余承东：2024年是原生鸿蒙的关键一年；
8、恒生指数公司：2月16日宣布2023年第四季度恒生指数系列检讨结果；
9、香港考虑在大型活动或假日延长铁路口岸开放时间；
10、北京商报：从严处罚尾盘异动涨停；
11、南下资金继续加仓腾讯、中海油和中国移动；
12、北上资金逆势加仓长江电力和长安汽车；
13、阿里巴巴：2023年以95亿美元回购总计8.979亿股普通股；
14、阿里巴巴再出售83.84万股快狗打车股份，持股比例降至8.89%；
15、长江存储将借壳？万润科技回应：目前没有；
16、比亚迪2023第四季度超越特斯拉成为全球最大纯电动车制造商；
17、经纬天地(2477.HK)等五股处于申购期；艾罗能源(688717.SH)今日上市；
18、公告精选︱德龙激光：拟投资4.5亿元建设总部研发中心及激光产业基地；时空科技：未开展“空间计算”“虚拟现实”业务及技术研发。",7.1504,7.1506,7.1502,7.1504,1209.0,-2.7970463190918338e-05,0.0,-4.1955694786377506e-05,-4.1955694786377506e-05,0.0,4.195569478615546e-05,2.7971245559612663e-05,-0.0,4.1957455140559395e-05,4.1957455140559395e-05,-0.0,-4.195393457968116e-05,0.0,0.0
2024-01-03 09:16:49,人民币兑美元中间价较上日调降232点至7.1002，降幅创2023年6月26日以来最大,人民币兑美元中间价较上日调降232点至7.1002，降幅创2023年6月26日以来最大。,7.1527,7.1546,7.1512,7.1545,2018.0,0.0003214759941294,6.988608568048171e-05,1.3977217136140752e-05,-9.784051995231911e-05,-0.0002655671255853,0.0005311342511706,-0.0003213726805275,-6.98812019568143e-05,-1.3977021776272468e-05,9.785009365635986e-05,0.0002656376702178,-0.0005308522973332,0.0,0.0
2024-01-03 16:31:42,在岸人民币兑美元1月3日16:30收盘报7.1434，较上一交易日下跌114点,在岸人民币兑美元1月3日16:30收盘报7.1434，较上一交易日下跌114点。,7.1533,7.1533,7.1515,7.1515,920.0,4.1949241417871264e-05,-4.1949241417871264e-05,-2.796616094535853e-05,-2.796616094535853e-05,6.991540236311877e-05,0.0003355939313429,-4.1947481752832346e-05,4.19510012305496e-05,2.796694307338967e-05,2.796694307338967e-05,-6.99105145413652e-05,-0.0003354813458392,0.0,0.0
2024-01-04 06:22:50,十年期美债收益率盘中升破4% 离岸人民币失守7.17创三周新低,"十年期美债收益率近三周来首次盘中升破4%，后转降，美联储纪要后刷新日低。
美元指数四连涨，创近三周新高；日元盘中跌超1%至两周低位；离岸人民币盘中跌超200点失守7.17，创三周新低。",7.1675,7.1676,7.1673,7.1675,316.0,-2.7903732124245902e-05,-1.3951866062122951e-05,-4.185559818625784e-05,-4.185559818625784e-05,-0.0001255667945588,-0.0007115451691664,2.790451076423933e-05,1.39520607194054e-05,4.185735015068688e-05,4.185735015068688e-05,0.0001255825635588,0.0007120518262036,0.0,0.0
2024-01-04 06:59:28,1.4盘前要点—港A美股你需要关注的大事都在这,"国际要闻：
1、纳指跌1.18% 四连跌至三周新低 中概股指逆势反弹1.53%；
2、欧股集体收跌 主要股指均跌逾1%；
3、原油涨超3% 比特币盘中跳水超10%；
4、十年期美债收益率盘中升破4% 离岸人民币失守7.17创三周新低；
5、美国12月ISM制造业PMI 47.4，高于预期；
6、美联储一致认为加息周期可能已经结束；
7、美联储会议纪要：官员们承认预测显示到2024年底前将降息；
8、美联储巴尔金：软着陆可能性更大但并非必然 仍可能进一步加息；
9、美国证交会和证券交易所官员会面 市场更加相信比特币现货ETF可能很快获批；
10、以军参谋长称以军在以色列北部地区处于“战备状态”；
11、欧佩克+声明重申致力于维护石油市场稳定；
12、通用汽车2023年全年销售260万辆，增长14%；
13、红海风波成航运公司短期利好 马士基涨超5%。
大中华区要闻：
1、李强：在关键核心技术攻关上实现更大突破，为国家高水平科技自立自强多作贡献；
2、2024年提前批地方债额度预下达 地方需在1月份尽快启动发行工作；
3、中国人民解放军南部战区组织海空兵力位南海海域进行例行巡航；
4、国家数据局：加快构建全国一体化算力网，完善算力券、数据中心REITs等政策工具设计；
5、科技部发文规范AI使用 禁用AIGC直接生成申报材料；
6、国际航运价格飙升 上海至纽约海运价格涨近150%；
7、香港12月住宅买卖合约总值环比升23.7%，同比升15.6%；
8、哈尔滨元旦假期游客接待量与旅游总收入达到历史峰值；
9、华为HarmonyOS NEXT将于一季度开放；
10、南下资金连续6日加仓中海油，连续7日加仓中国移动；
11、北上资金加仓长安汽车、美的集团和农业银行；
12、锦鸡股份：子公司签订9.22亿元AI能力中心算力服务资源运营合同；
13、金山办公：预计2023年净利同比增10.55%-22.19%；
14、经纬天地(2477.HK)等五股处于申购期；
15、公告精选︱三花智控：拟不低于50亿元投建机器人机电执行器和域控制器研发及生产基地项目；利柏特：在手订单中不涉及“可控核聚变”业务。",7.1666,7.1673,7.1665,7.1671,998.0,-1.3952644723813634e-05,-0.000432531986438,-0.0004464846311618,-0.0005441531442285,-0.0007255375256378,-0.0007953007492569,1.395283940282471e-05,0.000432719151312,0.0004466840687334,0.0005444494080857,0.0007260643125426,0.0007959337559694,0.0,0.0
2024-01-04 09:16:22,人民币兑美元中间价报7.0097，上调5点,人民币兑美元中间价报7.0097，上调5点。,7.1575,7.1592,7.1575,7.1589,1177.0,-4.190587939489898e-05,-0.0001117490117196,-9.778038525476428e-05,-8.381175878979796e-05,0.0003631842880889,0.0008101803349676,4.1907635571220955e-05,0.0001117615009568,9.778994719347492e-05,8.381878378948698e-05,-0.0003630524331494,-0.0008095244741579,0.0,0.0
2024-01-04 16:32:05,在岸人民币兑美元收盘报7.1520，较上一交易日下跌86点,在岸人民币兑美元收盘报7.1520，较上一交易日下跌86点。,7.1582,7.1583,7.1581,7.1582,680.0,0.0001676399094743,0.0002235198792992,0.0001257299321058,0.0002374898717554,-0.0001536699170182,-0.0003073398340365,-0.0001676118110454,-0.0002234699293276,-0.0001257141260772,-0.0002374334837078,0.000153693535091,0.0003074343208496,0.0,0.0
