title,updateTimestamp,content,relatedStocks,relatedInfos,date,trade_date
,2024-03-19 09:15:21,格隆汇3月19日｜美元兑日元USD/JPY短线上涨逾10点，一度涨至149.34，为3月7日以来最高水平。,JPY,,2024-03-19 01:15:21,20240320
分析人士：日元仍面临两重压力,2024-03-19 10:49:13,格隆汇3月19日｜分析师Ruth Carson称，日元目前仍徘徊在30年来的低点附近。即使日本央行结束负利率政策，也可能不足以将日元从目前149的水平大幅推高。为什么？自从日经新闻称日本央行不仅将取消零利率，还将取消收益率曲线控制以来，日元几乎没有变动。对冲基金也继续大量做空日元，增加了压力。,JPY,,2024-03-19 02:49:13,20240320
日央行利率决议前瞻：日本央行仍有震惊市场的额外空间,2024-03-19 10:57:10,格隆汇3月19日丨野村证券(Nomura)首席策略师Naka Matsuzawa写道，即使日本央行为这一天做了非常仔细的市场准备，比如暗示有意对抗弱势日元，但仍有“意外的空间”。他说，如果日本央行行长植田和男在政策会议后的新闻发布会上这样做，人们应该将其视为日本央行和政府遏制日元疲软的“强烈意愿”的信号，为“进一步行动”打开了大门。,JPY,['日本经济'],2024-03-19 02:57:10,20240320
日本央行利率决议前瞻：仍有可能等到4月再加息,2024-03-19 11:12:55,格隆汇3月19日｜瑞士嘉盛银行表示，投资者现在正期待着日本央行的利率决议，日本央行即将结束长达8年的负利率政策。自植田和男出任央行行长以来，央行内部就在为退出负利率政策做准备。与此同时，日本最大的几家企业上周五与工会达成一致，将工资涨幅上调至33年来的最高水平，强化了日本央行准备摆脱负利率的观点。不过，日本央行仍有可能会选择等到4月份的会议再采取行动。,JPY,['日本经济'],2024-03-19 03:12:55,20240320
,2024-03-19 11:15:46,格隆汇3月19日｜美元兑日元USD/JPY短线下挫近25点，现报149.31。,JPY,,2024-03-19 03:15:46,20240320
日媒泄密植田和男拟调整政策，日元小幅波动,2024-03-19 11:29:15,格隆汇3月19日｜在日本央行即将公布利率决议之际，日本放送协会NHK称，日本央行行长植田和男提议改变其货币政策，包括结束负利率政策，日元兑美元汇率随即出现波动，受最新消息影响，日元兑美元汇率下跌0.1%，至149.33附近。,JPY,,2024-03-19 03:29:15,20240320
,2024-03-19 11:39:05,格隆汇3月19日｜美元兑日元USD/JPY短线上涨，波幅达70点，现报149.48。,JPY,,2024-03-19 03:39:05,20240320
,2024-03-19 11:41:30,格隆汇3月19日｜日本央行结束负利率，美元指数和美国国债收益率基本持平。,JPY,,2024-03-19 03:41:30,20240320
,2024-03-19 11:44:22,格隆汇3月19日｜美元兑日元USD/JPY涨幅扩大至100点，现报149.78。,JPY,,2024-03-19 03:44:22,20240320
日本央行决议市场评论：日本央行未能满足日元多头的需求,2024-03-19 11:52:42,格隆汇3月19日｜分析师Mary Nicola表示，尽管日本取消了负利率和YCC，但日元仍难以获得动力。日本央行将继续购买债券，这一事实无法使日元持续突破近期的区间。日元的命运掌握在美联储周三的利率决定手中。因为实际利率仍将为负，日元的上行空间也有限。,JPY,,2024-03-19 03:52:42,20240320
,2024-03-19 11:56:49,格隆汇3月19日｜美元兑日元USD/JPY短线回落30点，现报149.66。,JPY,,2024-03-19 03:56:49,20240320
日本市场对加息反应从容 日元小幅走软,2024-03-19 12:00:09,格隆汇3月19日｜日本央行结束全球最后的负利率政策，日元随即小幅走弱，债券和股市走势温和。在决定之前，大约90%的央行观察人士已经看到了当局在会议上结束负利率的风险。在日本最大的工会组织宣布年度工资谈判的第一轮结果超出预期后，这种可能性有所增强。在日本央行做出决定之前的一周，日元小幅走弱，而美元则因美联储降息放缓的前景而升值。对日元今年表现优于其他货币的预期最近几乎消失了。一些市场观察人士也预计，日元对日本央行政策决定的反应相对温和，因为交易员已经基本消化了日本央行结束负利率政策的预期。,JPY,['外汇动态'],2024-03-19 04:00:09,20240320
,2024-03-19 12:25:45,格隆汇3月19日｜日本10年期国债收益率下跌3个基点至0.725%；欧元兑日元EUR/JPY上涨超过0.5%，达到163.00。,JPY,,2024-03-19 04:25:45,20240320
,2024-03-19 12:44:54,格隆汇3月19日｜美元兑日元USD/JPY突破150，为3月6日以来首次，日内涨0.57%，此前日本央行取消负利率政策。,JPY,,2024-03-19 04:44:54,20240320
分析师：日本加息，美/日反升，美元或才是货币的主导,2024-03-19 13:07:35,格隆汇3月19日｜分析师Garfield Reynolds表示，在日本央行自2007年以来首次加息后，日元兑美元反而下跌，这突显出，除了美联储的鹰派会议之外，目前对外汇市场来说，没有什么是真正重要的。最近几天，日元的表现好于其他同类型货币。这一价格走势的部分原因是，交易商不愿在日本央行行动即将到来、尾部风险更可能是鹰派加息而非之前强烈预示的鸽派加息时将其压低。相反，今日日本央行平稳地宣布了这一决定，使美联储及其对美国国债收益率的影响重新回到外汇市场的中心位置。日本央行关于维持宽松环境的言论，使得日元兑美元尤其难以走强，因为美联储强调了其维持限制性立场的意愿。最终其结果是，日元引领了G10货币的全面下跌。,JPY,,2024-03-19 05:07:35,20240320
