title,updateTimestamp,content,relatedStocks,relatedInfos,date,trade_date
,2024-04-18 09:17:30,格隆汇4月18日｜人民币兑美元中间价报7.1020，调升5个基点。,CNH,,2024-04-18 01:17:30,20240419
,2024-04-18 09:43:00,格隆汇4月18日｜环球银行金融电信协会(Swift)：人民币国际支付份额3月占比升至4.69%创出纪录新高，全球排名连五月第四。,CNH,,2024-04-18 01:43:00,20240419
人民币3月国际支付占比攀升至4.7%创新高,2024-04-18 11:20:17,格隆汇4月18日｜环球银行金融电信协会(Swift)汇编的交易数据显示，人民币在国际支付所占的份额越来越大，欧元的份额则持续下降。3月涉及人民币的交易比例升至4.7%，创下Swift去年7月建立新基准以来的最高水平。上个月，欧元的份额跌破22%，低于Swift推出新基准时的24.4%。根据Swift数据，自去年11月以来，人民币已成为全球第四大交易货币，是自2022年以来首次超过日元。,CNH,,2024-04-18 03:20:17,20240419
国家外汇管理局：3月银行结汇13061亿元人民币 售汇14242亿元人民币,2024-04-18 14:02:11,格隆汇4月18日｜国家外汇管理局公布2024年3月银行结售汇和银行代客涉外收付款数据。统计数据显示，2024年3月，银行结汇13061亿元人民币，售汇14242亿元人民币。2024年1-3月，银行累计结汇38514亿元人民币，累计售汇40276亿元人民币。按美元计值，2024年3月，银行结汇1840亿美元，售汇2007亿美元。2024年1-3月，银行累计结汇5422亿美元，累计售汇5670亿美元。,CNH,,2024-04-18 06:02:11,20240419
央行朱鹤新：央行对保持人民币汇率基本稳定的目标和决心不会变,2024-04-18 15:13:35,格隆汇4月18日｜人民银行副行长、国家外汇局局长朱鹤新在国新办新闻发布会上表示，今年以来市场对美联储货币政策转向预期出现反复，国际金融市场动荡加剧，一些货币汇率波动有所加大，人民币对美元汇率虽也出现波动，但对一篮子货币汇率在稳定基础上还有所升值。短期看，一季度经济实现良好开局，积极因素增多，有利于对冲外部扰动因素，对人民币汇率是有支撑的，人民币汇率保持基本稳定在宏观和微观上都有基础。下一步，央行将坚持以市场供求为基础，参考一篮子货币进行调节、有管理的浮动汇率制度；高度关注外汇市场形势变化，继续综合施策、稳定预期，坚决对顺周期行为予以纠偏，坚决防范汇率超调风险，保持人民币汇率在均衡水平上基本稳定。,CNH,,2024-04-18 07:13:35,20240419
上期所：做市商不得以发售基金、理财、信托、资管产品等方式募集的资金或者违法违规资金开展做市业务,2024-04-18 16:10:47,格隆汇4月18日｜上期所发布《上海期货交易所做市商业务指南》，做市商净资产应不低于人民币5000万元。做市商应当使用自有资金进行做市，不得以发售基金、理财、信托、资管产品等方式募集的资金或者违法违规资金开展做市业务。,CNH,,2024-04-18 08:10:47,20240419
,2024-04-18 16:34:43,格隆汇4月18日丨在岸人民币兑美元收盘报7.2390，较上一交易日跌41个基点。,CNH,,2024-04-18 08:34:43,20240419
,2024-04-19 06:10:35,格隆汇4月19日｜在岸人民币兑美元北京时间03:00收报7.2382，较上一交易日夜盘收盘涨1点。成交量375.21亿美元。,CNH,,2024-04-18 22:10:35,20240419
,2024-04-19 06:15:11,格隆汇4月19日｜离岸人民币（CNH）兑美元北京时间04:59报7.2496元，较周三纽约尾盘跌56点，盘中整体交投于7.2415-7.2539元区间。,CNH,,2024-04-18 22:15:11,20240419
音频 | 格隆汇4.19盘前要点—港A美股你需要关注的大事都在这,2024-04-19 07:09:41,"格隆汇4月19日｜国际要闻：
1、美股三大指数收盘涨跌不一 特斯拉跌超3%；
2、COMEX黄金期货收报2394.4美元/盎司，WTI 5月原油期货收报82.73美元/桶；
3、美国上周初请失业金人数21.2万人 低于预期；
4、印尼政府寻求吸引苹果公司更多投资，考虑税收减免等激励措施；
5、马斯克连续第三年零薪零酬；
6、日本最大工会组织Rengo：日本企业同意加薪5.2% 为33年来最高水平；
7、伯克希尔发行日元计价债券，发行总额2633亿日元；
8、小摩：对比特币的估值为4.5万美元，“减半”事件之后价格更可能下跌；
9、欧盟3月份新车销量降幅创2022年7月以来最大，前路艰难；
10、波音瞄准低空经济，计划2030年将飞行汽车带到亚洲；
11、Meta推出用于支持聊天机器人的最新人工智能模型Llama 3；
12、美联储博斯蒂克：仍然预计美联储今年将降息一次；
13、巧克力加工速度稳定，可可价格继续飙升；
14、标普下调以色列评级；
15、巴勒斯坦成为联合国正式会员国的申请在安理会遭美国否决；
大中华区要闻：
1、央行谈M2突破300万亿元：不宜做简单同期比较 将加强资金空转监测；
2、中国3月不包含在校生的16-24岁劳动失业率为15.3%；
3、人民币3月国际支付占比攀升至4.7%创新高；
4、美银调查：基金经理对中国股票的配置连续第二个月小幅上升；
5、中钢协骆铁军：协会非常重视今年粗钢产量调控政策，正在配合国家部委开展相关工作；
6、国家医保局价格招采专家组组长章明接受调查；
7、外交部：中方欢迎美国国务卿布林肯近日访华；
8、央行朱鹤新：央行对保持人民币汇率基本稳定的目标和决心不会变；
9、国际铜价持续攀升 2026年铜价或上涨26.5%；
10、香港3月综合利率跌至2.73%；
11、澳门立法会表决通过取消不动产交易三税法案；
12、台积电：Q1营收、净利润均超预期；
13、台积电下修全球晶圆代工增长预测，下调芯片市场前景；
14、北上资金加仓贵州茅台、中国平安、平安银行；
15、南下资金加仓腾讯、中国银行、建设银行；
16、公告精选︱亿纬锂能：2023年度净利润增15.42%至40.50亿元 拟10派5元；国邦医药：浙民投恒华、丝路基金拟减持不超过3%股份；
17、公告精选(港股)︱理想汽车-W(02015.HK)正式发布家庭五座豪华SUV－理想L6。",CNH,,2024-04-18 23:09:41,20240419
